nuclide,sample,recovery_percent_after_over_before,paired_change_percent,reference_bias_percent_after_vs_KINS,paired_recovery_within_80_120,reference_bias_within_plusminus20
137Cs,S1,100.909,0.909,-1.552,yes,yes
137Cs,S2,92.34,-7.66,-3.769,yes,yes
137Cs,S3,99.675,-0.325,24.797,yes,no
137Cs,S4,108.127,8.127,24.39,yes,no
137Cs,S5,98.68,-1.32,20.565,yes,no
134Cs,S1,91.364,-8.636,-10.865,yes,yes
134Cs,S2,100.638,0.638,4.878,yes,yes
134Cs,S3,92.208,-7.792,15.447,yes,yes
134Cs,S4,71.025,-28.975,-18.293,no,yes
241Am,S1,92.273,-7.727,-9.978,yes,yes
241Am,S2,97.447,-2.553,1.552,yes,yes
241Am,S3,86.039,-13.961,7.724,yes,yes
241Am,S4,92.226,-7.774,6.098,yes,yes
241Am,S5,100.66,0.66,22.984,yes,no
60Co,S1,92.045,-7.955,-10.2,yes,yes
60Co,S2,94.894,-5.106,-1.109,yes,yes
60Co,S5,97.36,-2.64,18.952,yes,yes
