nuclide,set,sample,level,A_before,u_b,A_after,u_a,m_b,m_a,R_ret,uR,Delta,k2,in80120
Cs-137,orig,1,high45,43.885,1.507,44.279,1.533,28.266,28.394,101.4,4.9,1.4,True,True
Cs-137,orig,2,high45,47.119,1.552,43.286,1.526,28.269,28.79,93.6,4.5,-6.4,True,True
Cs-137,orig,3,low25,30.527,1.314,30.474,1.299,28.267,29.146,102.9,6.2,2.9,True,True
Cs-137,orig,4,low25,28.035,1.134,30.28,1.277,28.268,29.2,111.6,6.5,11.6,True,True
Cs-137,orig,5,low25,30.101,1.295,29.684,2.98,28.266,29.014,101.2,11.1,1.2,True,True
Cs-137,repro,1,low25,26.36,1.222,24.21,1.177,28.268,28.268,91.8,6.2,-8.2,True,True
Cs-137,repro,2,low25,28.42,1.26,27.71,1.267,28.268,28.268,97.5,6.2,-2.5,True,True
Cs-137,repro,3,low25,27.77,0.784,28.15,1.258,28.267,28.267,101.4,5.4,1.4,True,True
Cs-134,orig,1,high45,43.287,1.319,39.554,1.337,28.266,28.394,91.8,4.2,-8.2,True,True
Cs-134,orig,2,high45,41.811,1.326,42.053,1.369,28.269,28.79,102.4,4.7,2.4,True,True
Cs-134,orig,3,low25,27.799,1.643,25.645,1.557,28.267,29.146,95.1,8.1,-4.9,True,True
Cs-134,orig,4,low25,29.61,1.645,24.17,1.542,28.268,29.2,84.3,7.1,-15.7,False,True
Cs-134,repro,1,low25,27.34,1.785,25.43,1.805,28.268,28.268,93.0,9.0,-7.0,True,True
Cs-134,repro,2,low25,25.82,1.736,26.51,1.81,28.268,28.268,102.7,9.8,2.7,True,True
Cs-134,repro,3,low25,26.62,1.121,26.38,1.83,28.267,28.267,99.1,8.0,-0.9,True,True
Am-241,orig,1,high45,97.301,2.917,93.185,2.895,28.266,28.394,96.2,4.2,-3.8,True,True
Am-241,orig,2,high45,97.135,2.881,96.385,2.909,28.269,28.79,101.1,4.3,1.1,True,True
Am-241,orig,3,low25,58.504,2.113,50.354,2.049,28.267,29.146,88.7,4.8,-11.3,False,True
Am-241,orig,4,low25,57.147,1.892,52.681,2.07,28.268,29.2,95.2,4.9,-4.8,True,True
Am-241,orig,5,low25,11.613,1.118,11.683,1.189,28.266,29.014,103.3,14.5,3.3,True,True
Am-241,repro,1,low25,49.12,1.94,50.2,2.049,28.268,28.268,102.2,5.8,2.2,True,True
Am-241,repro,2,low25,48.65,1.99,46.2,1.948,28.268,28.268,95.0,5.6,-5.0,True,True
Am-241,repro,3,low25,51.4,1.43,48.58,1.97,28.267,28.267,94.5,4.6,-5.5,True,True
Co-60,orig,1,high45,53.908,1.528,51.024,1.503,28.266,28.394,95.1,3.9,-4.9,True,True
Co-60,orig,2,high45,56.847,1.543,53.97,1.528,28.269,28.79,96.7,3.8,-3.3,True,True
Co-60,orig,5,low25,19.514,1.35,18.99,1.828,28.266,29.014,99.9,11.8,-0.1,True,True
