nuclide,sample,energy_keV,KINS_certified_Bq_kg,before_solidification_Bq_kg,after_solidification_Bq_kg,source
137Cs,S1,661.7,45.1,44.0,44.4,Values transcribed from manuscript Table 1; verify against instrument export before submission
137Cs,S2,661.7,45.1,47.0,43.4,Values transcribed from manuscript Table 1; verify against instrument export before submission
137Cs,S3,661.7,24.6,30.8,30.7,Values transcribed from manuscript Table 1; verify against instrument export before submission
137Cs,S4,661.7,24.6,28.3,30.6,Values transcribed from manuscript Table 1; verify against instrument export before submission
137Cs,S5,661.7,24.8,30.3,29.9,Values transcribed from manuscript Table 1; verify against instrument export before submission
134Cs,S1,604.7,45.1,44.0,40.2,Values transcribed from manuscript Table 1; verify against instrument export before submission
134Cs,S2,604.7,45.1,47.0,47.3,Values transcribed from manuscript Table 1; verify against instrument export before submission
134Cs,S3,604.7,24.6,30.8,28.4,Values transcribed from manuscript Table 1; verify against instrument export before submission
134Cs,S4,604.7,24.6,28.3,20.1,Values transcribed from manuscript Table 1; verify against instrument export before submission
241Am,S1,59.5,45.1,44.0,40.6,Values transcribed from manuscript Table 1; verify against instrument export before submission
241Am,S2,59.5,45.1,47.0,45.8,Values transcribed from manuscript Table 1; verify against instrument export before submission
241Am,S3,59.5,24.6,30.8,26.5,Values transcribed from manuscript Table 1; verify against instrument export before submission
241Am,S4,59.5,24.6,28.3,26.1,Values transcribed from manuscript Table 1; verify against instrument export before submission
241Am,S5,59.5,24.8,30.3,30.5,Values transcribed from manuscript Table 1; verify against instrument export before submission
60Co,S1,1173.2,45.1,44.0,40.5,Values transcribed from manuscript Table 1; verify against instrument export before submission
60Co,S2,1173.2,45.1,47.0,44.6,Values transcribed from manuscript Table 1; verify against instrument export before submission
60Co,S5,1173.2,24.8,30.3,29.5,Values transcribed from manuscript Table 1; verify against instrument export before submission
