group,sample,phase,nuclide,E,br,start,lt,gross,bg,net,u_net,Lc,Ld,n_pk,rate,u_rate,detected
orig,1,before,Am-241,59.54,0.359,2026-03-09T19:12:36.042000,29999.9999999,3259.0,1096.923076923077,2162.076923076923,64.05300135238411,95.5522941553116,137.78325428695587,20,0.072069230769471,0.0021351000450865877,True
orig,1,before,Cs-134,604.72,0.976,2026-03-09T19:12:36.042000,29999.9999999,970.0,297.69230769230774,672.3076923076923,34.62649394380316,49.777930662745405,73.0763595492407,20,0.02241025641033111,0.0011542164647972862,True
orig,1,before,Cs-134,795.86,0.855,2026-03-09T19:12:36.042000,29999.9999999,626.0,196.15384615384616,429.8461538461538,27.872703025801016,40.40651977387667,59.82888101186277,20,0.014328205128252888,0.0009290901008631308,True
orig,1,before,Cs-137,661.66,0.851,2026-03-09T19:12:36.042000,29999.9999999,1203.0,186.15384615384616,1016.8461538461538,36.690533741991125,39.363076923076925,58.3538643964491,20,0.03389487179498478,0.001223017791403781,True
orig,1,before,Co-60,1173.23,0.9985,2026-03-09T19:12:36.042000,29999.9999999,873.0,93.07692307692308,779.9230769230769,30.73430710356254,27.833898620675395,42.05615384615385,20,0.025997435897522556,0.0010244769034554995,True
orig,1,before,Co-60,1332.49,0.9998,2026-03-09T19:12:36.042000,29999.9999999,777.0,46.15384615384615,730.8461538461538,28.504437524355428,19.600041057800254,30.41672701517614,20,0.024361538461619665,0.0009501479174816815,True
orig,1,after,Am-241,59.54,0.359,2026-03-15T19:08:55.576000,29999.9999999,3185.0,1076.25,2108.75,63.18375978050056,93.45701855666059,134.8213610510088,21,0.07029166666690097,0.002106125326023706,True
orig,1,after,Cs-134,604.72,0.976,2026-03-15T19:08:55.576000,29999.9999999,914.0,296.1538461538462,617.8461538461538,33.79068881937114,49.64913890575385,72.89429880547763,20,0.020594871794940444,0.0011263562939827926,True
orig,1,after,Cs-134,795.86,0.855,2026-03-15T19:08:55.576000,29999.9999999,580.0,190.76923076923077,389.2307692307692,26.95821882339739,39.8480612552081,59.03944094485373,20,0.012974358974402222,0.0008986072941162417,True
orig,1,after,Cs-137,661.66,0.851,2026-03-15T19:08:55.576000,29999.9999999,1179.0,187.14285714285714,991.8571428571429,36.230835891375115,38.031838326994034,56.47201811536408,20,0.03306190476201497,0.0012076945297165296,True
orig,1,after,Co-60,1173.23,0.9985,2026-03-15T19:08:55.576000,29999.9999999,789.0,91.53846153846155,697.4615384615385,29.31576710890288,27.60290791644582,41.72962410235083,20,0.023248717948795444,0.0009771922369666867,True
orig,1,after,Co-60,1332.49,0.9998,2026-03-15T19:08:55.576000,29999.9999999,725.0,61.53846153846154,663.4615384615385,27.79095676846173,22.632177961697387,34.70297260115084,20,0.022115384615458332,0.0009263652256184789,True
orig,2,before,Am-241,59.54,0.359,2026-03-10T08:37:40.083000,29999.9999999,3199.0,1057.6923076923078,2141.3076923076924,63.34516135787817,93.82805310937587,135.34585755767247,20,0.07137692307716101,0.002111505378602977,True
orig,2,before,Cs-134,604.72,0.976,2026-03-10T08:37:40.083000,29999.9999999,865.0,253.0769230769231,611.9230769230769,32.552642845290116,45.89647218011295,67.58950825735332,20,0.02039743589750389,0.001085088094846621,True
orig,2,before,Cs-134,795.86,0.855,2026-03-10T08:37:40.083000,29999.9999999,669.0,203.0769230769231,465.9230769230769,28.72652115644147,41.11339297183832,60.82812089470342,20,0.015530769230821,0.0009575507052179076,True
orig,2,before,Cs-137,661.66,0.851,2026-03-10T08:37:40.083000,29999.9999999,1237.0,191.53846153846155,1045.4615384615386,37.20668324517128,39.92831926452629,59.15289411305899,20,0.03484871794883412,0.0012402227748431766,True
orig,2,before,Co-60,1173.23,0.9985,2026-03-10T08:37:40.083000,29999.9999999,966.0,79.23076923076924,886.7692307692307,32.04600982278652,25.680292630454954,39.01180444436833,20,0.029558974359072888,0.0010682003274297782,True
orig,2,before,Co-60,1332.49,0.9998,2026-03-10T08:37:40.083000,29999.9999999,708.0,55.38461538461539,652.6153846153846,27.397144929642906,21.470769230769232,33.0611987616995,20,0.02175384615391867,0.0009132381643244743,True
orig,2,after,Am-241,59.54,0.359,2026-03-16T08:35:14.767000,29999.9999999,3149.0,1028.5714285714287,2120.4285714285716,62.319289770912995,89.16161341139163,128.74935245528255,20,0.07068095238118799,0.0020773096590373575,True
orig,2,after,Cs-134,604.72,0.976,2026-03-16T08:35:14.767000,29999.9999999,932.0,266.1538461538462,665.8461538461538,33.71548201955076,47.067312945705694,69.24461527344845,20,0.022194871794945777,0.0011238494006554382,True
orig,2,after,Cs-134,795.86,0.855,2026-03-16T08:35:14.767000,29999.9999999,660.0,179.23076923076925,480.7692307692307,28.246589572640573,38.62418391930053,57.30936113807918,20,0.016025641025694443,0.0009415529857578243,True
orig,2,after,Cs-137,661.66,0.851,2026-03-16T08:35:14.767000,29999.9999999,1200.0,180.76923076923077,1019.2307692307693,36.593076591588606,38.78959874005145,57.543192448396084,20,0.03397435897447223,0.0012197692197236862,True
orig,2,after,Co-60,1173.23,0.9985,2026-03-16T08:35:14.767000,29999.9999999,860.0,103.07692307692308,756.9230769230769,30.647837457615218,29.29097007288511,44.11587815228812,20,0.025230769230853333,0.0010215945819239125,True
orig,2,after,Co-60,1332.49,0.9998,2026-03-16T08:35:14.767000,29999.9999999,727.0,51.53846153846154,675.4615384615385,27.688354418675754,20.71184356606928,31.988377222466845,20,0.022515384615459665,0.0009229451472922683,True
orig,3,before,Am-241,59.54,0.359,2026-03-10T20:40:43.030000,29999.9999999,2109.0,840.7692307692308,1268.230769230769,52.49519560998109,83.65491011171322,120.96504605368756,20,0.04227435897449988,0.001749839853671869,True
orig,3,before,Cs-134,604.72,0.976,2026-03-10T20:40:43.030000,29999.9999999,432.0,206.92307692307693,225.07692307692307,24.3140205978595,41.500898172357985,61.37590040067983,20,0.007502564102589111,0.0008104673532646849,True
orig,3,before,Cs-134,795.86,0.855,2026-03-10T20:40:43.030000,29999.9999999,267.0,122.30769230769232,144.69230769230768,19.002179881179064,31.906555205611863,47.81328383851615,20,0.0048230769230929995,0.0006334059960414135,True
orig,3,before,Cs-137,661.66,0.851,2026-03-10T20:40:43.030000,29999.9999999,809.0,126.15384615384616,682.8461538461538,30.100521924351135,32.40434743278097,48.51696569855808,20,0.02276153846161433,0.001003350730815049,True
orig,3,before,Co-60,1173.23,0.9985,2026-03-10T20:40:43.030000,29999.9999999,70.0,70.76923076923077,-0.7692307692307736,11.155172334952303,24.27030698576827,37.01864089754484,20,-2.5641025641111258e-05,0.0003718390778329829,False
orig,3,before,Co-60,1332.49,0.9998,2026-03-10T20:40:43.030000,29999.9999999,58.0,52.307692307692314,5.692307692307686,9.911442195287856,20.86583708832334,32.20606332172635,20,0.00018974358974422202,0.0003303814065106965,False
orig,3,after,Am-241,59.54,0.359,2026-03-16T18:13:36.381000,29999.9999999,2033.0,844.6153846153846,1188.3846153846152,51.79482736733306,83.84603421304098,121.235220145971,20,0.03961282051295255,0.0017264942455835239,True
orig,3,after,Cs-134,604.72,0.976,2026-03-16T18:13:36.381000,29999.9999999,381.0,180.76923076923077,200.23076923076923,22.804676152882983,38.78959874005145,57.543192448396084,20,0.0066743589743812224,0.0007601558717653,True
orig,3,after,Cs-134,795.86,0.855,2026-03-16T18:13:36.381000,29999.9999999,232.0,116.42857142857143,115.57142857142857,17.75283823241012,29.99787387023777,45.115161290598024,20,0.0038523809523937935,0.0005917612744156432,True
orig,3,after,Cs-137,661.66,0.851,2026-03-16T18:13:36.381000,29999.9999999,822.0,136.92307692307693,685.0769230769231,30.45201871447905,33.759138635636404,50.43210607552882,20,0.022835897435973557,0.0010150672904860186,True
orig,3,after,Co-60,1173.23,0.9985,2026-03-16T18:13:36.381000,29999.9999999,86.0,67.5,18.5,11.68866972756096,23.4049235204903,35.795330019511674,21,0.0006166666666687223,0.00038962232425333073,False
orig,3,after,Co-60,1332.49,0.9998,2026-03-16T18:13:36.381000,29999.9999999,57.0,59.285714285714285,-2.2857142857142847,9.967293452864233,21.4060097416876,32.96965438787213,20,-7.619047619073013e-05,0.0003322431150965819,False
orig,4,before,Am-241,59.54,0.359,2026-03-11T08:59:09.497000,29999.9999999,2162.0,923.8461538461539,1238.1538461538462,53.597116410997,87.69056324850604,126.6698677660155,20,0.04127179487193244,0.0017865705470391888,True
orig,4,before,Cs-134,604.72,0.976,2026-03-11T08:59:09.497000,29999.9999999,403.0,189.28571428571428,213.71428571428572,23.199225884340475,38.248958102389764,56.778939837045456,20,0.00712380952383327,0.0007733075294805936,True
orig,4,before,Cs-134,795.86,0.855,2026-03-11T08:59:09.497000,29999.9999999,272.0,126.66666666666666,145.33333333333334,19.126608703422235,31.86317104645742,47.75195574992029,20,0.004844444444460593,0.000637553623449533,True
orig,4,before,Cs-137,661.66,0.851,2026-03-11T08:59:09.497000,29999.9999999,799.0,127.6923076923077,671.3076923076923,29.95371182459706,32.60133616167637,48.79543006097834,20,0.022376923076997665,0.0009984570608232303,True
orig,4,before,Co-60,1173.23,0.9985,2026-03-11T08:59:09.497000,29999.9999999,67.0,77.6923076923077,-10.692307692307693,11.258921511826408,25.42974719897055,38.65763202939396,20,-0.00035641025641144447,0.00037529738372879795,False
orig,4,before,Co-60,1332.49,0.9998,2026-03-11T08:59:09.497000,29999.9999999,61.0,50.0,11.0,9.973040582567508,20.4003695290815,31.54807579199097,20,0.0003666666666678889,0.00033243468608669174,False
orig,4,after,Am-241,59.54,0.359,2026-03-17T08:10:54.524000,29999.9999999,2078.0,813.8461538461539,1264.1538461538462,52.00034137348119,82.30461538461539,119.05626191984811,20,0.042138461538602005,0.0017333447124551508,True
orig,4,after,Cs-134,604.72,0.976,2026-03-17T08:10:54.524000,29999.9999999,356.0,178.46153846153848,177.53846153846152,22.209865071829586,38.541210281214944,57.19206914194951,20,0.0059179487179684435,0.0007403288357301207,True
orig,4,after,Cs-134,795.86,0.855,2026-03-17T08:10:54.524000,29999.9999999,249.0,125.0,124.0,18.39254507363552,31.08248243441496,46.64836998732267,20,0.0041333333333471115,0.0006130848357898943,True
orig,4,after,Cs-137,661.66,0.851,2026-03-17T08:10:54.524000,29999.9999999,788.0,125.38461538461539,662.6153846153846,29.739699126622174,32.30540262948683,48.377096774490184,20,0.02208717948725311,0.0009913233042240436,True
orig,4,after,Co-60,1173.23,0.9985,2026-03-17T08:10:54.524000,29999.9999999,74.0,63.0,11.0,11.01135777277262,22.611304296745026,34.673465472316984,21,0.0003666666666678889,0.00036704525909364414,False
orig,4,after,Co-60,1332.49,0.9998,2026-03-17T08:10:54.524000,29999.9999999,66.0,42.75,23.25,9.90265116016918,18.62616301066862,29.040047593006744,21,0.0007750000000025833,0.0003300883720067396,True
orig,5,before,Am-241,59.54,0.359,2026-03-11T19:28:08.324000,29999.9999999,1129.0,698.25,430.75,40.6532594019225,75.27674159725566,109.12162045918669,21,0.014358333333381195,0.001355108646735267,True
orig,5,before,Cs-134,604.72,0.976,2026-03-11T19:28:08.324000,29999.9999999,198.0,182.25,15.75,18.2944663764757,38.458213706567285,57.07474472256814,21,0.00052500000000175,0.0006098155458845561,False
orig,5,before,Cs-134,795.86,0.855,2026-03-11T19:28:08.324000,29999.9999999,132.0,120.74074074074073,11.259259259259267,14.880779070125396,31.108906235802127,46.68572281987942,20,0.00037530864197655994,0.0004960259690058332,False
orig,5,before,Cs-137,661.66,0.851,2026-03-11T19:28:08.324000,29999.9999999,731.0,130.0,601.0,28.702911748760663,31.698036892797365,47.51852119216357,20,0.02003333333340011,0.000956763724961878,True
orig,5,before,Co-60,1173.23,0.9985,2026-03-11T19:28:08.324000,29999.9999999,200.0,69.28571428571429,130.71428571428572,15.795245991068558,23.141022237664473,35.42227769882278,20,0.004357142857157381,0.0005265081997040403,True
orig,5,before,Co-60,1332.49,0.9998,2026-03-11T19:28:08.324000,29999.9999999,188.0,48.46153846153847,139.53846153846155,15.009267354167417,20.08406557300659,31.100946761039268,20,0.004651282051297556,0.0005003089118072483,True
orig,5,after,Am-241,59.54,0.359,2026-03-17T19:08:29.284000,29999.9999999,1050.0,686.1538461538462,363.8461538461538,39.721664754735215,75.57249892707559,109.5397046650255,20,0.012128205128245554,0.0013240554918289207,True
orig,5,after,Cs-134,604.72,0.976,2026-03-17T19:08:29.284000,29999.9999999,193.0,163.0769230769231,29.923076923076906,17.84499333096677,36.84251647374733,54.7907861310068,20,0.0009974358974392218,0.0005948331110342084,False
orig,5,after,Cs-134,795.86,0.855,2026-03-17T19:08:29.284000,29999.9999999,129.0,128.46153846153848,0.5384615384615188,15.093593609453558,32.69938551437552,48.93403317110647,20,1.794871794877712e-05,0.0005031197869834623,False
orig,5,after,Cs-137,661.66,0.851,2026-03-17T19:08:29.284000,29999.9999999,744.0,127.4074074074074,616.5925925925926,28.95472081265541,31.956202400774824,47.88346538963601,20,0.0205530864198216,0.0009651573604250642,True
orig,5,after,Co-60,1173.23,0.9985,2026-03-17T19:08:29.284000,29999.9999999,191.0,63.7037037037037,127.2962962962963,15.433338221830368,22.59644741855771,34.65246370670742,20,0.004243209876557354,0.0005144446073960604,True
orig,5,after,Co-60,1332.49,0.9998,2026-03-17T19:08:29.284000,29999.9999999,177.0,43.5,133.5,14.478432235570258,18.788840012092283,29.270008706700384,21,0.004450000000014834,0.00048261440785395067,True
repro,1,before,Am-241,59.54,0.359,2026-03-23T13:31:34.196000,29999.9999999,2020.0,810.3703703703703,1209.6296296296296,51.18861541810343,80.59342281707448,116.6373105921729,20,0.04032098765445539,0.0017062871806091354,True
repro,1,before,Cs-134,604.72,0.976,2026-03-23T13:31:34.196000,29999.9999999,351.0,200.0,151.0,22.468781761505316,40.800739058163,60.38615158398194,20,0.0050333333333501115,0.0007489593920526737,True
repro,1,before,Cs-134,795.86,0.855,2026-03-23T13:31:34.196000,29999.9999999,235.0,123.7037037037037,111.2962962962963,18.07297355483747,31.48829716199124,47.22203194254696,20,0.003709876543222243,0.0006024324518299238,True
repro,1,before,Cs-137,661.66,0.851,2026-03-23T13:31:34.196000,29999.9999999,717.0,138.46153846153848,578.5384615384615,28.696844351594567,33.948266942546084,50.69945890172627,20,0.019284615384679668,0.0009565614783896741,True
repro,1,before,Co-60,1173.23,0.9985,2026-03-23T13:31:34.196000,29999.9999999,64.0,64.28571428571429,-0.2857142857142918,10.484196075376442,22.290403352847907,34.219838113820636,20,-9.523809523841473e-06,0.000349473202513713,False
repro,1,before,Co-60,1332.49,0.9998,2026-03-23T13:31:34.196000,29999.9999999,60.0,43.7037037037037,16.296296296296298,9.611093270517944,18.716168461134593,29.167279798214096,20,0.0005432098765450206,0.0003203697756849994,False
repro,1,after,Am-241,59.54,0.359,2026-03-26T13:39:53.585000,29999.9999999,1950.0,817.6923076923077,1132.3076923076924,50.78379744406907,82.49886775626129,119.33085815244638,20,0.037743589743715555,0.0016927932481412785,True
repro,1,after,Cs-134,604.72,0.976,2026-03-26T13:39:53.585000,29999.9999999,343.0,160.0,183.0,21.384239857561322,35.1658145687785,52.42059099571094,20,0.006100000000020333,0.0007128079952544201,True
repro,1,after,Cs-134,795.86,0.855,2026-03-26T13:39:53.585000,29999.9999999,212.0,117.14285714285714,94.85714285714286,17.195158312378375,30.089751187582333,45.245039577232504,20,0.003161904761915302,0.0005731719437478564,True
repro,1,after,Cs-137,661.66,0.851,2026-03-26T13:39:53.585000,29999.9999999,665.0,128.46153846153848,536.5384615384615,27.637231555409766,32.69938551437552,48.93403317110647,20,0.017884615384675,0.000921241051850063,True
repro,1,after,Co-60,1173.23,0.9985,2026-03-26T13:39:53.585000,29999.9999999,72.0,78.57142857142857,-6.571428571428569,11.319118736880174,24.642968115692163,37.54543674279432,20,-0.00021904761904834914,0.0003773039578972635,False
repro,1,after,Co-60,1332.49,0.9998,2026-03-26T13:39:53.585000,29999.9999999,39.0,42.142857142857146,-3.142857142857146,8.312763729129232,18.047733873236933,28.22237694827788,20,-0.00010476190476225407,0.00027709212430523136,False
repro,2,before,Am-241,59.54,0.359,2026-03-24T08:20:38.538000,29999.9999999,1998.0,854.25,1143.75,51.368156478503295,83.26219075606888,120.40989578903628,21,0.038125000000127085,0.001712271882622484,True
repro,2,before,Cs-134,604.72,0.976,2026-03-24T08:20:38.538000,29999.9999999,381.0,194.6153846153846,186.3846153846154,23.03701677760891,40.247750909267445,59.60444446209918,20,0.006212820512841223,0.0007679005592561899,True
