sample,nuclide,E,R,uR,note
1,Am-241,59.54,97.54,4.11,
1,Cs-134,604.72,92.41,6.94,
1,Cs-134,795.86,91.05,8.64,
1,Cs-137,661.66,97.58,5.01,
1,Co-60,1173.23,89.62,5.16,
1,Co-60,1332.49,90.98,5.21,
2,Am-241,59.54,99.03,4.13,
2,Cs-134,604.72,109.41,8.04,
2,Cs-134,795.86,103.76,8.84,
2,Cs-137,661.66,97.53,4.93,
2,Co-60,1173.23,85.54,4.64,
2,Co-60,1332.49,103.72,6.09,
3,Am-241,59.54,93.71,5.63,
3,Cs-134,604.72,89.44,14.04,
3,Cs-134,795.86,80.31,16.23,
3,Cs-137,661.66,100.36,6.28,
3,Co-60,1173.23,,,below Currie critical level
3,Co-60,1332.49,,,below Currie critical level
4,Am-241,59.54,102.1,6.1,
4,Cs-134,604.72,83.53,13.84,
4,Cs-134,795.86,85.79,17.01,
4,Cs-137,661.66,98.74,6.25,
4,Co-60,1173.23,,,below Currie critical level
4,Co-60,1332.49,,,below Currie critical level
5,Am-241,59.54,84.47,12.19,
5,Cs-134,604.72,,,below Currie critical level
5,Cs-134,795.86,,,below Currie critical level
5,Cs-137,661.66,102.63,6.87,
5,Co-60,1173.23,97.6,16.71,
5,Co-60,1332.49,95.88,14.65,
6,Am-241,59.54,93.61,5.77,
6,Cs-134,604.72,121.53,22.99,
6,Cs-134,795.86,85.47,20.8,
6,Cs-137,661.66,92.76,6.63,
6,Co-60,1173.23,,,below Currie critical level
6,Co-60,1332.49,,,below Currie critical level
7,Am-241,59.54,93.73,6.07,
7,Cs-134,604.72,82.91,15.55,
7,Cs-134,795.86,152.2,42.68,
7,Cs-137,661.66,100.1,6.89,
7,Co-60,1173.23,,,below Currie critical level
7,Co-60,1332.49,,,below Currie critical level
8,Am-241,59.54,95.71,5.07,
8,Cs-134,604.72,96.53,14.61,
8,Cs-134,795.86,68.71,17.08,
8,Cs-137,661.66,100.16,5.57,
8,Co-60,1173.23,,,below Currie critical level
8,Co-60,1332.49,,,below Currie critical level
